192.168.2.11  nginx/hello_world
192.168.2.12  pihole
192.168.2.13  transmission
192.168.2.14  jackett
192.168.2.15  home assistant
192.168.2.16  rabbitmq
192.168.2.17  cluster-internal container registry
192.168.2.18  sonarr
192.168.2.19  
192.168.2.20  postgresql
192.168.2.21  ollama (dev endpoint)
192.168.2.22  embeddding-service (dev endpoint)
192.168.2.23  qdrant (dev endpoint)
192.168.2.24  llm-orchestrator (dev endpoint)
192.168.2.25  argocd web ui
192.168.2.26  openvpn (disabled)
192.168.2.27  jellyfin
